dq_number,reported,original_location,map_address,query,desired_type,decision,candidate_count,reason,source_note
DQ2026195060,2026-07-14,Thomson Avenue From 31 street To Van Dam Street,"THOMSON AVENUE BETWEEN 31ST STREET AND VAN DAM STREET, QUEENS, NY",THOMSON AVENUE BETWEEN 31 STREET AND VAN DAM STREET QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street segment; marker placed at first endpoint
DQ2026202034,2026-07-14,"GREENPOINT AVENUE in Queens, From BRADLEY AVENUE To STAR AVENUE","GREENPOINT AVENUE BETWEEN BRADLEY AVENUE AND STARR AVENUE, QUEENS, NY",GREENPOINT AVENUE BETWEEN BRADLEY AVENUE AND STAR AVENUE QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street segment; marker placed at first endpoint
DQ2026202042,2026-07-14,ROOSEVELT AVENUE/56 STREET To 57 STREET,"ROOSEVELT AVENUE BETWEEN 56TH STREET AND 57TH STREET, QUEENS, NY",ROOSEVELT AVENUE BETWEEN 56 STREET AND 57 STREET QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street segment; marker placed at first endpoint
DQ2026202043,2026-07-14,"ROOSEVELT AVENUE in Queens, From 52 STREET To 51 STREET","ROOSEVELT AVENUE BETWEEN 52ND STREET AND 51ST STREET, QUEENS, NY",ROOSEVELT AVENUE BETWEEN 52 STREET AND 51 STREET QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street segment; marker placed at first endpoint
DQ2026203037,2026-07-14,Thomson Avenue/ 30 PLACE - 30 STREET,"THOMSON AVENUE BETWEEN 30TH PLACE AND 30TH STREET, QUEENS, NY",THOMSON AVENUE BETWEEN 30 PLACE AND 30 STREET QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street range; marker placed at first endpoint
DQ2026201059,2026-07-15,21st Street/24th Dr,"21ST STREET & 24TH DRIVE, QUEENS, NY",21 STREET & 24 DRIVE QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026201062,2026-07-15,21st Street/29th Ave,"21ST STREET & 29TH AVENUE, QUEENS, NY",21 STREET & 29 AVENUE QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026201066,2026-07-15,Jackson Avenue/50th Avenue,"JACKSON AVENUE & 50TH AVENUE, QUEENS, NY",JACKSON AVENUE & 50 AVENUE QUEENS,intersection-or-address,multiple-district-26-candidates,4,multiple-district-26-candidates,Direct intersection
DQ2026202071,2026-07-15,21st Street/Between 30th Dr and 31st Ave,"21ST STREET BETWEEN 30TH DRIVE AND 31ST AVENUE, QUEENS, NY",21 STREET BETWEEN 30 DRIVE AND 31 AVENUE QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Between-block location; marker placed at first endpoint
DQ2026202079,2026-07-15,21st Street/Between 43rd Ave and 44th Ave,"21ST STREET BETWEEN 43RD AVENUE AND 44TH AVENUE, QUEENS, NY",21 STREET BETWEEN 43 AVENUE AND 44 AVENUE QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Between-block location; marker placed at first endpoint
DQ2026202081,2026-07-15,21st Street/Between 44th Ave and 44th Rd,"21ST STREET BETWEEN 44TH AVENUE AND 44TH ROAD, QUEENS, NY",21 STREET BETWEEN 44 AVENUE AND 44 ROAD QUEENS,street-segment,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Between-block location; marker placed at first endpoint
DQ2026204035,2026-07-20,Northern Boulevard and 61st street,"NORTHERN BOULEVARD & 61ST STREET, QUEENS, NY",NORTHERN BOULEVARD & 61 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204037,2026-07-20,Northern Boulevard and 62nd,"NORTHERN BOULEVARD & 62ND STREET, QUEENS, NY",NORTHERN BOULEVARD & 62 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204045,2026-07-20,46th street and northern,"46TH STREET & NORTHERN BOULEVARD, QUEENS, NY",46 STREET & NORTHERN BOULEVARD QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204049,2026-07-20,Northern boulevard and 57th,"NORTHERN BOULEVARD & 57TH STREET, QUEENS, NY",NORTHERN BOULEVARD & 57 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204050,2026-07-20,northern boulevard and 60th street,"NORTHERN BOULEVARD & 60TH STREET, QUEENS, NY",NORTHERN BOULEVARD & 60 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204052,2026-07-20,Northern boulevard and 61st street,"NORTHERN BOULEVARD & 61ST STREET, QUEENS, NY",NORTHERN BOULEVARD & 61 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204053,2026-07-20,Northern Boulevard and 62nd street,"NORTHERN BOULEVARD & 62ND STREET, QUEENS, NY",NORTHERN BOULEVARD & 62 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026204056,2026-07-20,Northern Boulevard under the brooklyn queens expressway,"NORTHERN BOULEVARD UNDER THE BROOKLYN-QUEENS EXPRESSWAY, QUEENS, NY",,,,,Underpass level must be checked manually before publishing.,
DQ2026205057,2026-07-24,56-05 48th St,"56-05 48TH STREET, QUEENS, NY",56-05 48 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Street address
DQ2026208018,2026-07-24,"8 39th St, Long Island City, NY 11104","8 39TH STREET, QUEENS, NY 11104",,,,,The Queens house number is incomplete or malformed and must be verified.,
DQ2026208024,2026-07-24,"51-31 Broadway, Woodside, NY 11377","51-31 BROADWAY, QUEENS, NY 11377",51-31 BROADWAY QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Full street address
DQ2026208048,2026-07-24,46th St & Northern Blvd,"46TH STREET & NORTHERN BOULEVARD, QUEENS, NY",46 STREET & NORTHERN BOULEVARD QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026208059,2026-07-24,Big Bush Playground,"BIG BUSH PLAYGROUND, QUEENS, NY",,,,,"Playground result would be a place centroid, not the exact pothole location.",
DQ2026208060,2026-07-24,Northern Blvd/60 St,"NORTHERN BOULEVARD & 60TH STREET, QUEENS, NY",NORTHERN BOULEVARD & 60 STREET QUEENS,intersection-or-address,no-candidate-confirmed-in-district-26,0,no-candidate-confirmed-in-district-26,Direct intersection
DQ2026195056,,Queens Boulevard 61st street,"QUEENS BOULEVARD & 61ST STREET, QUEENS, NY",QUEENS BOULEVARD & 61 STREET QUEENS,intersection-or-address,multiple-district-26-candidates,2,multiple-district-26-candidates,Intersection inferred from two street names
DQ2026201036,,Queens Boulevard,"QUEENS BOULEVARD, QUEENS, NY",,,,,Only a street name was supplied; a cross street or address is required.,
DQ2026203048,,,,,,,,No location was supplied.,
