dq_number,reported,original_location,map_address,query,desired_type,decision,candidate_count,latitude,longitude,official_location,district,inside_boundary,location_precision,result_type,result_status,geosupport_return_code,source_note
DQ2026194056,2026-07-13,Queens Boulevard/39th street,"QUEENS BOULEVARD & 39TH STREET, QUEENS, NY",QUEENS BOULEVARD & 39 STREET QUEENS,intersection-or-address,accepted,1,40.744029,-73.926152,39 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026195025,2026-07-14,Queens Boulevard/39th PL,"QUEENS BOULEVARD & 39TH PLACE, QUEENS, NY",QUEENS BOULEVARD & 39 PLACE QUEENS,intersection-or-address,accepted,1,40.743919,-73.925185,39 PLACE & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026195026,2026-07-14,Queens Boulevard/40th Street,"QUEENS BOULEVARD & 40TH STREET, QUEENS, NY",QUEENS BOULEVARD & 40 STREET QUEENS,intersection-or-address,accepted,1,40.743808,-73.924258,40 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026195035,2026-07-14,Queens Boulevard 39th street,"QUEENS BOULEVARD & 39TH STREET, QUEENS, NY",QUEENS BOULEVARD & 39 STREET QUEENS,intersection-or-address,accepted,1,40.744029,-73.926152,39 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195037,2026-07-14,Queens Boulevard 50th street,"QUEENS BOULEVARD & 50TH STREET, QUEENS, NY",QUEENS BOULEVARD & 50 STREET QUEENS,intersection-or-address,accepted,1,40.742731,-73.914985,50 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195038,2026-07-14,Queens Boulevard 52nd street,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",QUEENS BOULEVARD & 52 STREET QUEENS,intersection-or-address,accepted,1,40.742483,-73.912892,52 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195039,2026-07-14,Queens Boulevard 52nd street,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",QUEENS BOULEVARD & 52 STREET QUEENS,intersection-or-address,accepted,1,40.742483,-73.912892,52 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195041,2026-07-14,Queens Boulevard 55th street,"QUEENS BOULEVARD & 55TH STREET, QUEENS, NY",QUEENS BOULEVARD & 55 STREET QUEENS,intersection-or-address,accepted,1,40.742171,-73.910157,55 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195042,2026-07-14,Queens Boulevard 52nd street,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",QUEENS BOULEVARD & 52 STREET QUEENS,intersection-or-address,accepted,1,40.742483,-73.912892,52 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195043,2026-07-14,Queens Boulevard 52nd street,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",QUEENS BOULEVARD & 52 STREET QUEENS,intersection-or-address,accepted,1,40.742483,-73.912892,52 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195045,2026-07-14,69st and Queens Blvd intersection,"QUEENS BOULEVARD & 69TH STREET, QUEENS, NY",QUEENS BOULEVARD & 69 STREET QUEENS,intersection-or-address,accepted,1,40.740273,-73.895851,69 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026195048,2026-07-14,Thomson Avenue/Van Dam Street,"THOMSON AVENUE & VAN DAM STREET, QUEENS, NY",THOMSON AVENUE & VAN DAM STREET QUEENS,intersection-or-address,accepted,1,40.744734,-73.93359,THOMSON AVENUE & VAN DAM STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
