DQ Number,Issue,Map Address,Original Location,Date,Status,Address Confidence,Address Note
DQ2026194056,Pothole,"QUEENS BOULEVARD & 39TH STREET, QUEENS, NY",Queens Boulevard/39th street,2026-07-13,,High,Direct intersection
DQ2026195025,Pothole,"QUEENS BOULEVARD & 39TH PLACE, QUEENS, NY",Queens Boulevard/39th PL,2026-07-14,,High,Direct intersection
DQ2026195026,Pothole,"QUEENS BOULEVARD & 40TH STREET, QUEENS, NY",Queens Boulevard/40th Street,2026-07-14,,High,Direct intersection
DQ2026195035,Pothole,"QUEENS BOULEVARD & 39TH STREET, QUEENS, NY",Queens Boulevard 39th street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195037,Pothole,"QUEENS BOULEVARD & 50TH STREET, QUEENS, NY",Queens Boulevard 50th street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195038,Pothole,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",Queens Boulevard 52nd street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195039,Pothole,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",Queens Boulevard 52nd street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195041,Pothole,"QUEENS BOULEVARD & 55TH STREET, QUEENS, NY",Queens Boulevard 55th street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195042,Pothole,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",Queens Boulevard 52nd street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195043,Pothole,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",Queens Boulevard 52nd street,2026-07-14,,High,Intersection inferred from two street names
DQ2026195045,Pothole,"QUEENS BOULEVARD & 69TH STREET, QUEENS, NY",69st and Queens Blvd intersection,2026-07-14,,High,Direct intersection
DQ2026195048,Pothole,"THOMSON AVENUE & VAN DAM STREET, QUEENS, NY",Thomson Avenue/Van Dam Street,2026-07-14,,High,Direct intersection
DQ2026195054,Pothole,"THOMSON AVENUE & VAN DAM STREET (CROSSWALK), QUEENS, NY",Thomson Avenue/Van Dam Street/ Crosswalk,2026-07-14,,High,Direct intersection
DQ2026195060,Pothole,"THOMSON AVENUE BETWEEN 31ST STREET AND VAN DAM STREET, QUEENS, NY",Thomson Avenue From 31 street To Van Dam Street,2026-07-14,,Medium,Street segment; marker placed at first endpoint
